starttime	seconds	ctime	dtime	ttime	wait
Thu Aug 17 12:06:55 2017	1502989615	213	125	338	97
Thu Aug 17 12:06:56 2017	1502989616	78	260	338	260
Thu Aug 17 12:06:56 2017	1502989616	78	260	339	260
Thu Aug 17 12:06:56 2017	1502989616	79	260	339	256
Thu Aug 17 12:07:05 2017	1502989625	39	299	339	225
Thu Aug 17 12:06:56 2017	1502989616	79	260	339	256
Thu Aug 17 12:06:55 2017	1502989615	64	275	339	263
Thu Aug 17 12:06:55 2017	1502989615	64	275	339	263
Thu Aug 17 12:06:56 2017	1502989616	80	260	340	256
Thu Aug 17 12:06:56 2017	1502989616	80	260	340	256
Thu Aug 17 12:07:04 2017	1502989624	213	127	341	127
Thu Aug 17 12:06:57 2017	1502989617	91	250	341	225
Thu Aug 17 12:06:57 2017	1502989617	90	250	341	226
Thu Aug 17 12:06:57 2017	1502989617	90	250	341	226
Thu Aug 17 12:06:57 2017	1502989617	90	250	341	226
Thu Aug 17 12:06:57 2017	1502989617	90	250	341	226
Thu Aug 17 12:06:57 2017	1502989617	90	251	341	223
Thu Aug 17 12:06:57 2017	1502989617	90	251	341	223
Thu Aug 17 12:06:57 2017	1502989617	90	251	341	223
Thu Aug 17 12:06:57 2017	1502989617	90	251	341	223
Thu Aug 17 12:06:57 2017	1502989617	90	251	341	223
Thu Aug 17 12:07:05 2017	1502989625	39	302	341	225
Thu Aug 17 12:07:05 2017	1502989625	39	302	341	225
Thu Aug 17 12:07:05 2017	1502989625	39	302	341	225
Thu Aug 17 12:06:55 2017	1502989615	23	318	341	305
Thu Aug 17 12:06:53 2017	1502989613	109	232	342	197
Thu Aug 17 12:06:53 2017	1502989613	109	232	342	220
Thu Aug 17 12:07:05 2017	1502989625	43	299	342	223
Thu Aug 17 12:07:05 2017	1502989625	43	299	342	225
Thu Aug 17 12:06:57 2017	1502989617	63	280	343	208
Thu Aug 17 12:06:57 2017	1502989617	89	254	344	224
Thu Aug 17 12:06:57 2017	1502989617	89	254	344	224
Thu Aug 17 12:06:57 2017	1502989617	89	254	344	224
Thu Aug 17 12:06:57 2017	1502989617	90	253	344	223
Thu Aug 17 12:06:57 2017	1502989617	89	254	344	224
Thu Aug 17 12:06:55 2017	1502989615	23	321	344	308
Thu Aug 17 12:06:55 2017	1502989615	23	321	344	308
Thu Aug 17 12:06:55 2017	1502989615	18	326	344	313
Thu Aug 17 12:07:04 2017	1502989624	217	127	344	123
Thu Aug 17 12:06:57 2017	1502989617	91	257	348	225
Thu Aug 17 12:07:03 2017	1502989623	116	233	348	210
Thu Aug 17 12:07:05 2017	1502989625	97	252	349	187
Thu Aug 17 12:06:54 2017	1502989614	24	325	349	286
Thu Aug 17 12:06:59 2017	1502989619	108	243	351	227
Thu Aug 17 12:07:03 2017	1502989623	112	239	351	214
Thu Aug 17 12:06:52 2017	1502989612	31	321	351	288
Thu Aug 17 12:07:03 2017	1502989623	115	236	351	210
Thu Aug 17 12:06:57 2017	1502989617	91	261	352	246
Thu Aug 17 12:06:57 2017	1502989617	91	261	352	246
Thu Aug 17 12:06:52 2017	1502989612	131	221	352	207
Thu Aug 17 12:07:05 2017	1502989625	95	258	352	187
Thu Aug 17 12:07:05 2017	1502989625	95	258	352	187
Thu Aug 17 12:07:05 2017	1502989625	95	258	352	187
Thu Aug 17 12:06:52 2017	1502989612	34	321	354	289
Thu Aug 17 12:06:52 2017	1502989612	34	321	355	288
Thu Aug 17 12:06:52 2017	1502989612	34	321	355	288
Thu Aug 17 12:06:52 2017	1502989612	34	321	355	288
Thu Aug 17 12:06:52 2017	1502989612	34	321	355	288
Thu Aug 17 12:07:05 2017	1502989625	97	258	355	187
Thu Aug 17 12:06:52 2017	1502989612	259	97	356	62
Thu Aug 17 12:07:05 2017	1502989625	40	316	356	294
Thu Aug 17 12:07:05 2017	1502989625	40	316	356	294
Thu Aug 17 12:07:05 2017	1502989625	40	316	356	294
Thu Aug 17 12:07:05 2017	1502989625	40	316	356	294
Thu Aug 17 12:07:05 2017	1502989625	41	316	357	288
Thu Aug 17 12:07:05 2017	1502989625	41	316	357	278
Thu Aug 17 12:07:05 2017	1502989625	41	316	357	278
Thu Aug 17 12:07:05 2017	1502989625	41	316	357	278
Thu Aug 17 12:07:05 2017	1502989625	41	316	357	278
Thu Aug 17 12:07:05 2017	1502989625	41	316	357	263
Thu Aug 17 12:07:05 2017	1502989625	41	316	357	263
Thu Aug 17 12:07:05 2017	1502989625	41	316	357	288
Thu Aug 17 12:06:56 2017	1502989616	68	291	359	131
Thu Aug 17 12:06:54 2017	1502989614	13	347	360	308
Thu Aug 17 12:06:56 2017	1502989616	109	256	365	248
Thu Aug 17 12:06:56 2017	1502989616	109	256	365	248
Thu Aug 17 12:06:52 2017	1502989612	66	300	366	131
Thu Aug 17 12:06:56 2017	1502989616	93	275	368	263
Thu Aug 17 12:06:56 2017	1502989616	93	275	369	263
Thu Aug 17 12:06:56 2017	1502989616	93	275	369	263
Thu Aug 17 12:06:56 2017	1502989616	93	275	369	263
Thu Aug 17 12:06:56 2017	1502989616	93	275	369	263
Thu Aug 17 12:06:56 2017	1502989616	93	275	369	263
Thu Aug 17 12:06:56 2017	1502989616	93	276	369	263
Thu Aug 17 12:06:56 2017	1502989616	93	276	369	263
Thu Aug 17 12:06:56 2017	1502989616	93	276	369	263
Thu Aug 17 12:06:56 2017	1502989616	93	276	369	260
Thu Aug 17 12:06:56 2017	1502989616	93	276	369	260
Thu Aug 17 12:06:56 2017	1502989616	93	276	369	260
Thu Aug 17 12:07:04 2017	1502989624	20	350	370	172
Thu Aug 17 12:06:54 2017	1502989614	19	351	370	272
Thu Aug 17 12:06:54 2017	1502989614	19	351	370	272
Thu Aug 17 12:06:54 2017	1502989614	19	351	370	272
Thu Aug 17 12:06:54 2017	1502989614	208	162	370	134
Thu Aug 17 12:06:54 2017	1502989614	19	351	370	286
Thu Aug 17 12:06:54 2017	1502989614	208	162	371	134
Thu Aug 17 12:06:54 2017	1502989614	208	162	371	134
Thu Aug 17 12:06:54 2017	1502989614	208	162	371	134
Thu Aug 17 12:06:54 2017	1502989614	208	162	371	134
Thu Aug 17 12:06:54 2017	1502989614	208	162	371	140
Thu Aug 17 12:06:54 2017	1502989614	208	162	371	134
Thu Aug 17 12:06:54 2017	1502989614	208	162	371	140
Thu Aug 17 12:06:54 2017	1502989614	208	162	371	134
Thu Aug 17 12:06:54 2017	1502989614	208	162	371	140
Thu Aug 17 12:06:54 2017	1502989614	17	354	371	260
Thu Aug 17 12:06:56 2017	1502989616	97	276	373	260
Thu Aug 17 12:06:54 2017	1502989614	23	351	374	272
Thu Aug 17 12:06:54 2017	1502989614	23	351	375	272
Thu Aug 17 12:06:54 2017	1502989614	23	352	375	266
Thu Aug 17 12:07:04 2017	1502989624	251	127	378	115
Thu Aug 17 12:07:04 2017	1502989624	251	127	378	115
Thu Aug 17 12:07:04 2017	1502989624	251	127	378	127
Thu Aug 17 12:06:57 2017	1502989617	59	321	379	276
Thu Aug 17 12:06:54 2017	1502989614	12	368	379	272
